F1,F2,F3,F4,F6,F7
16.06574,0.46977115,-0.89254904,-3.1915069,1.7336688,5.26921
32.165367,-1.8585904,-1.1056695,1.4167314,-1.0620923,46.939404
11.929865,1.5447595,-0.47740698,-4.9254737,4.211023,-2.6695163
12.345688,1.4422443,-0.5287671,-4.760576,3.9411407,-1.8437586
93.59779,0.23707557,0.5789895,-10.961506,10.64728,-229.40518
529.2217,1.1572568,-0.96229315,-27.654102,21.642756,-3027.289
34.66069,-1.9675162,-0.9974923,1.8309579,-0.7352357,54.801754
28.797876,1.1112058,1.3820004,-5.7829165,9.018862,-50.31255
43.671013,-2.129411,-0.6557803,3.0125203,0.6029029,84.40912
153.93942,-0.7558577,0.88617563,12.417971,14.739557,466.03992
14.289318,0.942353,-0.73301554,-3.9546885,2.7571206,1.9132621
31.56845,-1.8266118,-1.1327996,1.3096032,-1.1362405,45.089745
136.98001,0.3547666,-0.25797796,-14.669544,10.993372,-401.5969
120.188934,-3.5042355,2.2461076,13.046621,11.96673,335.84247
211.87665,0.54214454,-1.2890754,-19.83257,12.044367,-763.3218
11.689585,1.6066434,-0.44327974,-5.027469,4.3835273,-3.163916
49.74391,-0.0024988651,1.7564988,-6.335239,10.623709,-87.64241
15.712513,0.5637386,-0.86082506,-3.3432574,1.9371781,4.601901
12.374876,1.435046,-0.5323701,-4.749,3.9221988,-1.7857952
156.00665,0.40495276,-0.58866644,-16.186909,11.185053,-482.78052
10.948189,2.1349018,-0.67373323,-5.7976356,4.105557,-7.1566143
118.862,0.30683875,0.05929041,-13.217548,10.813456,-324.6525
11.649111,2.20528,-0.5578456,-5.9057326,4.292974,-10.125636
38.82618,-2.0423605,-0.8395171,2.3771977,-0.11661005,68.4893
153.07071,0.39544654,-0.49062872,-15.812061,11.20698,-477.57758
349.3659,1.1330945,-0.95889044,15.296131,19.405756,1916.7118
11.701147,1.603421,-0.4453311,-5.0219417,4.3737025,-3.1385365
88.94159,-2.9428046,1.0610795,8.949036,7.326143,233.16554
628.567,-1.267029,-0.767591,23.632305,24.564875,4143.902
185.32928,0.47936988,-1.0190406,-18.288197,11.567286,-620.2451
11.689585,1.6066434,-0.44327974,-5.027469,4.3835254,-3.163915
12.13921,1.4931476,-0.503263,-4.8424544,4.075155,-2.2537954
35.941154,0.7070615,1.6493974,-5.945831,9.907431,-62.946453
196.37367,2.448261,-1.063787,10.728237,16.5785,696.2908
12.192537,1.4800003,-0.509851,-4.8213058,4.040541,-2.147893
231.78891,2.1438215,-1.0395103,11.785625,17.232965,978.79846
11.689585,1.6066434,-0.44327974,-5.027469,4.3835273,-3.163916
40.68856,-2.0758202,-0.768888,2.6214147,0.1599822,74.60901
11.858383,1.5623834,-0.46857882,-4.953819,4.2574153,-2.8114672
11.875679,1.5581205,-0.47071505,-4.946962,4.2461915,-2.7771251
29.436558,-1.7124074,-1.2296882,0.92700815,-1.4010663,38.483692
70.867775,-2.6180632,0.37563562,6.578942,4.6419463,173.77608
26.212263,1.3216054,1.1466165,-5.8162227,8.318258,-44.199795
24.632242,1.4483755,1.003119,-5.833591,7.8927035,-40.535168
12.280712,2.193589,-0.44966173,-5.901214,4.4607997,-11.708006
12.385328,1.4324701,-0.53366137,-4.7448554,3.9154162,-1.7650452
123.51175,0.32006812,-0.046285152,-13.662434,10.83317,-340.64215
12.100481,1.5026968,-0.49848032,-4.8578143,4.100289,-2.3307028
199.85237,2.4183614,-1.061399,10.832096,16.642832,724.0403
107.69458,0.2766111,0.27290583,-12.268497,10.722345,-280.04456
12.18331,1.4822767,-0.50871134,-4.824968,4.0465283,-2.166215
385.09296,0.82596564,-0.9344001,16.36285,20.065912,2201.7065
11.542187,1.6538665,-0.47689772,-5.1113143,4.375466,-3.328438
33.113693,0.82876945,1.6350522,-5.8272357,9.801813,-58.79612
32.910294,-1.8984969,-1.0718131,1.5504193,-0.9695535,49.24768
14.654434,0.8452194,-0.7658038,-3.7978263,2.5467696,2.603022
134.08716,-3.1365302,2.2873406,13.938911,13.618631,385.06235
167.93112,0.436157,-0.7881446,-17.114674,11.313654,-534.87134
17.70391,0.033968687,-1.0396647,-2.487718,0.78987074,8.363974
20.442924,-0.7034371,-1.2965999,-1.3039622,-0.80003977,13.54797
12.536882,1.3951051,-0.55238104,-4.684753,3.8170505,-1.4640749
14.831223,2.1457193,0.024066448,-5.8728957,5.2252765,-18.764387
27.820618,-1.6258433,-1.3031268,0.6370034,-1.6017995,33.476414
214.94061,2.288658,-1.0510535,11.2825775,16.921625,844.3994
19.403452,-0.4225924,-1.1978469,-1.7540069,-0.19531107,11.579527
24.241268,-1.4340966,-1.4658036,-0.0053629875,-2.0464272,22.385162
41.90097,-2.0976079,-0.72290564,2.7804112,0.34003973,78.59288
12.26725,1.461581,-0.51907873,-4.791679,3.9920487,-1.9995213
13.3814125,2.1732156,-0.2611308,-5.8933425,4.753267,-14.465618
36.730186,-2.0047038,-0.91900396,2.102343,-0.42788553,61.601986
287.82956,1.6620977,-1.001081,13.458805,18.26861,1425.8356
83.71379,-2.8488753,0.86281824,8.263493,6.549745,215.9873
12.287153,1.4566743,-0.52153635,-4.7837863,3.9791322,-1.9599977
211.32037,2.3197782,-1.0535331,11.1744995,16.854761,815.52075
149.4458,-1.2947218,1.2033257,12.762232,14.485819,447.7104
217.69339,2.2649915,-1.0491614,11.364784,16.972528,866.35846
253.14697,0.6382749,-1.6700568,-22.117237,12.828608,-991.80475
29.242819,-1.7020304,-1.2384915,0.892241,-1.4251313,37.88335
406.7825,0.6394956,-0.919538,17.010448,20.46673,2374.7244
376.59625,0.89900947,-0.94022894,16.109142,19.908869,2133.9282
13.16518,1.2402036,-0.62998056,-4.435596,3.4092727,-0.21638358
11.438383,1.7306001,-0.50896406,-5.2207427,4.332874,-3.9331944
22.831099,1.5811937,0.84171915,-5.834026,7.4243674,-36.8195
13.359827,1.1896245,-0.6495414,-4.354011,3.2926297,0.1573062
12.784935,1.3339498,-0.5830178,-4.586387,3.656056,-0.97148335
49.659683,-2.2370102,-0.42866468,3.7978368,1.4922957,104.087555
12.396946,1.4296052,-0.5350976,-4.7402453,3.9078727,-1.7419684
12.85685,2.182926,-0.35097933,-5.8970923,4.6138835,-13.151409
12.211462,1.4753349,-0.5121894,-4.8138022,4.028258,-2.1103084
12.122694,1.4972198,-0.5012231,-4.8490024,4.085872,-2.2865913
11.689585,1.6066434,-0.44327974,-5.027469,4.3835273,-3.163916
128.53165,0.33216834,-0.103711605,-13.97353,10.916422,-366.70544
12.338255,1.4440744,-0.52784586,-4.7635207,3.945969,-1.8585222
11.689585,1.6066434,-0.44327974,-5.027469,4.3835273,-3.163916
12.152771,1.489804,-0.5049386,-4.8370757,4.0663524,-2.226864
53.570923,-0.035705805,1.6694818,-6.7003284,10.6728,-97.496
71.696846,-2.6329615,0.40708017,6.6876626,4.7650847,176.50035
42.37413,-2.106109,-0.7049613,2.8424554,0.41030645,80.14766
442.50867,1.0063169,-1.5033088,-26.86919,18.524958,-2338.3113
161.7555,0.18144774,0.33450556,11.819149,15.180857,497.92175
20.06941,-0.6025212,-1.2611146,-1.4656787,-0.5827451,12.840648
49.18599,-2.2284997,-0.4466262,3.735722,1.4219527,102.53104
72.55297,-2.6483443,0.43955088,6.799933,4.8922286,179.31352
101.34552,-3.1656706,1.5314927,10.575609,9.168276,273.9241
79.91533,0.19940162,0.85773706,-9.747761,10.554323,-177.39867
296.8416,1.5846021,-0.9949012,13.727924,18.435114,1497.7247
14.403254,2.1540906,-0.07436228,-5.8828254,5.052421,-17.237953
11.983278,1.5315912,-0.4840045,-4.9042907,4.1763577,-2.5634484
115.63405,-3.4224017,2.0733705,12.449326,11.290285,320.87534
195.34277,0.5048826,-1.1690192,-19.014729,11.694483,-666.7245
267.9527,1.8329389,-1.0147071,12.865391,17.90127,1267.2776
11.34836,2.2108448,-0.6093602,-5.907882,4.213063,-9.372156
11.689585,1.6066434,-0.44327974,-5.027469,4.3835273,-3.163916
759.3946,-2.3917239,-0.6778693,27.538494,26.9826,5187.5146
165.30014,0.42874122,-0.7301917,-16.868214,11.300562,-525.5513
228.40851,0.5809934,-1.4519172,-20.778248,12.347345,-853.25977
43.291874,-2.122595,-0.6701598,2.9627995,0.54659796,83.163315
52.499947,-0.1367991,1.7755113,-6.425121,10.753897,-92.28995
41.216675,0.41527915,1.69694,-6.0608783,10.216974,-73.1761
12.274599,1.459769,-0.5199857,-4.7887645,3.9872785,-1.9849272
35.59617,-1.9843247,-0.9620147,1.953629,-0.5963044,57.87569
12.2322445,1.4702117,-0.5147548,-4.8055606,4.014771,-2.0690405
66.910034,-2.5469563,0.22554636,6.0599504,4.0541854,160.77116
115.50693,0.29765296,0.12685633,-12.92226,10.789804,-311.7843
255.2861,1.9418333,-1.0233893,12.487194,17.6672,1166.2358
230.41534,0.58560157,-1.4669013,-20.878895,12.3892765,-864.9164
22.02774,-1.1316245,-1.447164,-0.61781263,-1.7220368,16.549131
383.84085,0.8367231,-0.9352546,16.325481,20.04278,2191.7185
11.689585,1.6066434,-0.44327974,-5.027469,4.3835273,-3.163916
165.91672,0.68045974,0.040812016,11.500343,15.415827,514.8955
58.5745,-0.025985956,1.529139,-7.263225,10.664568,-109.713745
113.33615,0.29196143,0.16311121,-12.753559,10.766306,-302.29034
237.78766,0.59963965,-1.453321,-21.042652,12.61883,-918.4402
11.689585,1.6066434,-0.44327974,-5.027469,4.3835273,-3.163916
334.0227,1.2649763,-0.96940374,14.838055,19.122187,1794.3187
37.629112,-2.0208514,-0.8849158,2.2202172,-0.2943902,64.55582
94.64556,-3.0452912,1.2773957,9.697018,8.173243,251.90846
1226.0858,-6.403595,-0.3576789,41.472607,35.606987,8910.316
28.928226,-1.6851771,-1.2527919,0.83577967,-1.4642091,36.90854
12.137253,1.4936302,-0.5030217,-4.8432307,4.076423,-2.2576795
28.989054,-1.6884339,-1.2500253,0.8466935,-1.4566522,37.097023
166.93756,0.8028753,-0.031239986,11.422138,15.473444,519.05945
15.858625,0.5248687,-0.8739486,-3.2804866,1.8529944,4.8779373
37.328667,-2.0154536,-0.8963103,2.1808228,-0.3390069,63.56857
12.168358,1.4859617,-0.506865,-4.830896,4.056234,-2.1959076
12.845551,1.3190057,-0.59050417,-4.562347,3.6167178,-0.8511127
283.7417,1.6972234,-1.0038733,13.336781,18.193079,1393.2266
11.774069,1.5831707,-0.45816565,-4.9872546,4.31214,-2.978906
35.971474,-1.99107,-0.94778013,2.00285,-0.54056597,59.108913
12.196661,1.4789846,-0.51035833,-4.819671,4.037866,-2.1397069
27.303265,-1.5981266,-1.3266425,0.5441575,-1.6660638,31.873306
30.932936,0.95400596,1.5732751,-5.7827983,9.573683,-54.707554
26.694708,-1.5655282,-1.3542991,0.43494463,-1.7416596,29.987576
13.985718,1.0231187,-0.70575,-4.0851207,2.932035,1.339711
151.22713,-1.0811045,1.0776048,12.625761,14.58642,454.97644
12.117527,1.498493,-0.50058603,-4.8510528,4.0892234,-2.2968462
182.84515,2.5645635,-1.0730567,10.324314,16.328516,588.3736
269.45682,1.8200223,-1.0136847,12.9102745,17.92904,1279.2758
45.012154,-2.1535094,-0.60491705,3.1883912,0.8020873,88.81604
23.61652,-1.4006302,-1.4941955,-0.11748266,-2.1240315,20.449272
32.573395,-1.8804486,-1.0871253,1.4899564,-1.0114045,48.20374
134.2238,-3.120145,2.277697,13.92845,13.626337,385.6197
12.599182,1.3797472,-0.5600753,-4.660049,3.7766166,-1.3403621
217.73505,2.2646253,-1.0491385,11.366035,16.97326,866.69055
193.1748,2.4757688,-1.0659766,10.632717,16.519403,670.7733
22.897991,-1.362138,-1.5268512,-0.24643278,-2.2132916,18.222776
11.87204,1.559016,-0.47026587,-4.948404,4.2485538,-2.7843485
239.33199,2.0789793,-1.0343299,12.010845,17.37234,1038.9697
36.80629,0.64062095,1.6631646,-5.934177,9.990507,-65.33811
11.689585,1.6066434,-0.44327974,-5.027469,4.3835273,-3.163916
70.11412,0.17053199,1.1063905,-8.731709,10.541399,-147.77333
11.689585,1.6066434,-0.44327974,-5.027469,4.3835273,-3.163916
198.62744,2.42889,-1.0622458,10.795521,16.620157,714.26917
63.263206,-2.4814312,0.0872426,5.5817266,3.512586,148.78792
27.153801,-1.5901234,-1.3334336,0.51733446,-1.6846318,31.41016
55.570946,-2.343219,-0.20448446,4.5730023,2.370191,123.51164
237.84981,2.0917242,-1.0353599,11.966587,17.344934,1027.1464
11.914495,1.5485494,-0.47551012,-4.9315677,4.2209973,-2.7000365
55.016563,-2.3332608,-0.22550535,4.5003095,2.2878623,121.68994
60.001472,-2.422827,-0.036458492,5.1540017,3.0281768,138.07005
12.4565735,1.4149053,-0.5424609,-4.716602,3.8691764,-1.6235626
20.349913,1.7771013,0.6169648,-5.8560557,6.7606483,-31.1901
128.32068,0.3334043,-0.14662695,-14.09618,10.86323,-358.54825
113.55545,0.29188514,0.17653894,-12.719456,10.787409,-305.91003
11.689585,1.6066434,-0.44327974,-5.027469,4.3835273,-3.163916
93.64931,-3.0273879,1.239615,9.566374,8.025293,248.63484
51.85518,-2.2764552,-0.3454013,4.0857415,1.818357,111.30182
